Nom,variable,Group
IND1,10,A
IND2,7,A
IND3,20,A
IND4,14,A
IND5,14,A
IND6,12,A
IND7,10,A
IND8,23,A
IND9,17,A
IND10,20,A
IND11,14,A
IND12,13,A
IND13,11,B
IND14,17,B
IND15,21,B
IND16,11,B
IND17,16,B
IND18,14,B
IND19,17,B
IND20,17,B
IND21,19,B
IND22,21,B
IND23,7,B
IND24,13,B
IND25,0,C
IND26,1,C
IND27,7,C
IND28,2,C
IND29,3,C
IND30,1,C
IND31,2,C
IND32,1,C
IND33,3,C
IND34,0,C
IND35,1,C
IND36,4,C
IND37,3,D
IND38,5,D
IND39,12,D
IND40,6,D
IND41,4,D
IND42,3,D
IND43,5,D
IND44,5,D
IND45,5,D
IND46,5,D
IND47,2,D
IND48,4,D
IND49,3,E
IND50,5,E
IND51,3,E
IND52,5,E
IND53,3,E
IND54,6,E
IND55,1,E
IND56,1,E
IND57,3,E
IND58,2,E
IND59,6,E
IND60,4,E
IND61,11,F
IND62,9,F
IND63,15,F
IND64,22,F
IND65,15,F
IND66,16,F
IND67,13,F
IND68,10,F
IND69,26,F
IND70,26,F
IND71,24,F
IND72,13,F
